make,model,year,trim,fuel_type,drivetrain,city_fuel_economy,hwy_fuel_economy,comb_fuel_economy,transmission_type,min_price,med_price,image,expert_score,consumer_score,make_id,model_id,trim_id,fuel_type_id,drivetrain_id,image_id
acura,tlx,2023,TLX Type S PMC Edition Sedan 4D,Gas,AWD,19,25,21,Automatic,46349,36133,https://file.kelleybluebookimages.com/kbb/base/evox/CP/51840/2023-Acura-TLX-front_51840_032_1822x728_BV_cropped.png?downsize=750:*,4.2,4.3,1,5,50,1,1,8
acura,rdx,2022,RDX Sport Utility 4D,Gas,FWD,22,28,24,Automatic,30129,33395,https://file.kelleybluebookimages.com/kbb/base/evox/CP/15173/2022-Acura-RDX-front_15173_032_1672x782_BV_cropped.png?downsize=750:*,4.5,3.9,1,1,24,1,2,9
acura,rdx,2022,RDX SH-AWD Sport Utility 4D,Gas,AWD,21,27,23,Automatic,30942,33395,https://file.kelleybluebookimages.com/kbb/base/evox/CP/15173/2022-Acura-RDX-front_15173_032_1672x782_BV_cropped.png?downsize=750:*,4.5,3.9,1,1,27,1,1,9
acura,rdx,2022,RDX FWD w/Technology Pkg Sport Utility 4D,Gas,FWD,22,28,24,Automatic,31533,33395,https://file.kelleybluebookimages.com/kbb/base/evox/CP/15173/2022-Acura-RDX-front_15173_032_1672x782_BV_cropped.png?downsize=750:*,4.5,3.9,1,1,25,1,2,9
acura,rdx,2022,RDX SH-AWD w/Technology Pkg Sport Utility 4D,Gas,AWD,21,27,23,Automatic,33140,33395,https://file.kelleybluebookimages.com/kbb/base/evox/CP/15173/2022-Acura-RDX-front_15173_032_1672x782_BV_cropped.png?downsize=750:*,4.5,3.9,1,1,26,1,1,9
acura,rdx,2022,RDX FWD w/A-Spec Pkg Sport Utility 4D,Gas,FWD,22,27,24,Automatic,33395,33395,https://file.kelleybluebookimages.com/kbb/base/evox/CP/15173/2022-Acura-RDX-front_15173_032_1672x782_BV_cropped.png?downsize=750:*,4.5,3.9,1,1,29,1,2,9
acura,rdx,2022,RDX SH-AWD w/A-Spec Pkg Sport Utility 4D,Gas,AWD,21,26,23,Automatic,35772,33395,https://file.kelleybluebookimages.com/kbb/base/evox/CP/15173/2022-Acura-RDX-front_15173_032_1672x782_BV_cropped.png?downsize=750:*,4.5,3.9,1,1,28,1,1,9
acura,rdx,2022,RDX SH-AWD w/Advance Pkg Sport Utility 4D,Gas,AWD,21,27,23,Automatic,36867,33395,https://file.kelleybluebookimages.com/kbb/base/evox/CP/15173/2022-Acura-RDX-front_15173_032_1672x782_BV_cropped.png?downsize=750:*,4.5,3.9,1,1,30,1,1,9
acura,rdx,2022,RDX SH-AWD PMC Edition Sport Utility 4D,Gas,AWD,21,27,23,Automatic,37021,33395,https://file.kelleybluebookimages.com/kbb/base/evox/CP/15173/2022-Acura-RDX-front_15173_032_1672x782_BV_cropped.png?downsize=750:*,4.5,3.9,1,1,51,1,1,9
acura,rdx,2022,RDX SH-AWD w/A-Spec & Advance Pkgs Sport Utility 4D,Gas,AWD,21,26,23,Automatic,39580,33395,https://file.kelleybluebookimages.com/kbb/base/evox/CP/15173/2022-Acura-RDX-front_15173_032_1672x782_BV_cropped.png?downsize=750:*,4.5,3.9,1,1,31,1,1,9
acura,mdx,2022,MDX Sport Utility 4D,Gas,FWD,19,26,22,Automatic,32578,37233,https://file.kelleybluebookimages.com/kbb/base/evox/CP/15124/2022-Acura-MDX-front_15124_032_1834x827_BX_cropped.png?downsize=750:*,4.5,4.2,1,3,35,1,2,10
acura,mdx,2022,MDX SH-AWD Sport Utility 4D,Gas,AWD,19,25,21,Automatic,33553,37233,https://file.kelleybluebookimages.com/kbb/base/evox/CP/15124/2022-Acura-MDX-front_15124_032_1834x827_BX_cropped.png?downsize=750:*,4.5,4.2,1,3,36,1,1,10
